start_time,end_time,name,car_id,car_name,shots,shots_against,goals,goals_against,saves,assists,score,avg_distance_to_ball,avg_distance_to_ball_possession,avg_distance_to_ball_no_possession,avg_distance_to_mates,time_defensive_third,time_neutral_third,time_offensive_third,time_defensive_half,time_offensive_half,time_behind_ball,time_infront_ball,time_most_back,time_most_forward,goals_against_while_last_defender,time_closest_to_ball,time_farthest_from_ball,percent_defensive_third,percent_offensive_third,percent_neutral_third,percent_defensive_half,percent_offensive_half,percent_behind_ball,percent_infront_ball,percent_most_back,percent_most_forward,percent_closest_to_ball,percent_farthest_from_ball,mvp
0,301.906,[huiTre] tMd^,1568,Octane ZSR,5,5,3,2,0,0,580,3118,2954,3276,3702,164.63,71.17,64.82,198.64,101.98,227.28,73.34,145.4,139.0,2.0,133.9,150.4,54.76349,21.562105,23.674406,66.076775,33.923225,75.60375,24.396246,52.33604,50.032394,48.19667,54.135765,False
0,348.77695,Tripz_Oh,23,Octane,3,4,0,1,1,0,230,2901,2626,3117,3890,164.27,103.08,78.17,222.1,123.42,231.68,113.84,115.3,119.4,1.0,119.2,106.5,47.54283,22.62387,29.833294,64.27992,35.720074,67.05256,32.94744,34.240067,35.457623,35.39823,31.626776,False
0,355.46765,Plum,4284,Fennec,2,4,1,2,1,0,271,2916,2892,2943,3876,119.52,133.55,100.29,180.64,172.73,258.21,95.15,94.4,123.0,0.0,115.9,103.1,33.823864,28.38182,37.79432,51.119225,48.880775,73.07279,26.927214,27.969542,36.443363,34.33972,30.547241,False
0,453.3759,Typical,23,Octane,6,8,2,2,1,0,557,2887,2515,3169,3660,189.29,131.95,127.18,262.32,186.11,305.27,143.16,129.8,160.2,0.0,158.5,152.9,42.212658,28.361805,29.425539,58.497425,41.502575,68.07528,31.924715,29.816462,36.79967,36.40916,35.12278,True
0,333.398,keatoa,23,Octane,1,5,1,1,4,1,492,3000,2705,3256,3829,130.78,123.07,70.2,205.9,118.16,239.94,84.11,94.6,97.1,1.0,107.9,105.9,40.35797,21.663322,37.97871,63.537617,36.462383,74.04413,25.955872,29.439224,30.217216,33.57814,32.95575,True
0,263.732,Rain Cozy,23,Octane,1,3,1,1,1,0,267,3059,2682,3436,3689,91.47,88.41,83.64,139.48,124.05,179.9,83.62,67.9,95.7,0.0,69.9,108.0,34.710835,31.739525,33.549633,52.92756,47.07244,68.26807,31.731937,26.979774,38.025986,27.774467,42.913338,False
0,315.42615,suho,4284,Fennec,1,7,1,0,3,1,534,2583,2756,2485,2929,202.57,85.64,27.07,242.85,72.42,252.98,62.3,146.9,91.2,0.0,104.7,96.5,64.25082,8.586018,27.163155,77.029205,22.970785,80.239784,19.760214,47.950123,29.7689,34.17548,31.498892,True
0,363.38004,truthEVA,23,Octane,1,7,1,3,1,1,314,2733,2298,3132,3356,165.98,114.78,79.16,227.68,132.25,217.5,142.42,85.0,161.8,1.0,118.6,123.0,46.115807,21.993778,31.89042,63.256744,36.743256,60.4301,39.56991,24.60986,46.845592,34.337994,35.611916,False
0,381.868,LORD OMG,23,Octane,3,7,1,4,1,1,540,2347,2123,2558,3139,159.85,124.79,96.25,227.66,153.23,262.78,118.11,150.9,212.2,0.0,200.4,162.7,41.9675,25.269762,32.762737,59.770535,40.22946,68.99104,31.008951,42.17204,59.30356,56.005814,45.469788,False
0,334.51874,jj.dunbar,4284,Fennec,0,11,0,2,3,1,386,3202,3334,3113,3773,158.95,114.55,60.8,220.06,114.24,227.22,107.08,121.9,120.3,1.0,90.6,141.9,47.547115,18.187258,34.265633,65.8271,34.1729,67.968895,32.031113,37.794933,37.298855,28.09041,43.995903,False
0,368.10922,RichieBoi,23,Octane,2,6,2,2,2,0,505,3016,2648,3412,3693,181.16,114.15,66.09,237.32,124.09,271.89,89.51,132.2,120.4,0.0,116.6,146.8,50.127285,18.287216,31.5855,65.66503,34.334965,75.23243,24.767569,37.768192,34.397053,33.31143,41.939262,True
0,381.298,Mr. Sandman,1568,Octane ZSR,3,3,0,3,1,1,300,3151,3116,3098,3441,207.96,105.39,67.18,269.45,111.08,265.89,114.64,211.2,144.4,3.0,147.8,208.0,54.65009,17.654324,27.69558,70.809135,29.190863,69.8736,30.1264,59.605453,40.752968,41.71253,58.702343,False
0,254.10706,Luke Apparently,5361,,0,8,0,5,0,0,70,3175,2882,3305,3565,137.98,77.13,38.33,178.23,75.21,158.02,95.42,77.6,87.4,3.0,57.8,105.5,54.442867,15.123896,30.433237,70.32433,29.675663,62.350063,37.649937,32.45504,36.55374,24.173985,44.123795,False
